ordnungszahl,symbol,label,qid,soll_kategorie,kategorie_status,kategorie_property,soll_gruppe,gruppe_status
1,H,Wasserstoff,Q556,Nichtmetalle,ok,P361,1,ok
2,He,Helium,Q560,Edelgase (18. Gruppe),ok,P361,18,ok
3,Li,Lithium,Q568,Alkalimetalle,ok,P361,1,ok
4,Be,Beryllium,Q569,Erdalkalimetalle (2. Gruppe),ok,P361,2,ok
5,B,Bor,Q618,Halbmetalle,ok,P361,13,ok
6,C,Kohlenstoff,Q623,Nichtmetalle,ok,P361,14,ok
7,N,Stickstoff,Q627,Nichtmetalle,ok,P361,15,ok
8,O,Sauerstoff,Q629,Nichtmetalle,ok,P361,16,ok
9,F,Fluor,Q650,Halogene (17. Gruppe),ok,P361,17,ok
10,Ne,Neon,Q654,Edelgase (18. Gruppe),ok,P361,18,ok
11,Na,Natrium,Q658,Alkalimetalle,ok,P361,1,ok
12,Mg,Magnesium,Q660,Erdalkalimetalle (2. Gruppe),ok,P361,2,ok
13,Al,Aluminium,Q663,Metalle des p-Blocks,ok,P361,13,ok
14,Si,Silicium,Q670,Halbmetalle,ok,P361,14,ok
15,P,Phosphor,Q674,Nichtmetalle,ok,P361,15,ok
16,S,Schwefel,Q682,Nichtmetalle,ok,P361,16,ok
17,Cl,Chlor,Q688,Halogene (17. Gruppe),ok,P361,17,ok
18,Ar,Argon,Q696,Edelgase (18. Gruppe),ok,P361,18,ok
19,K,Kalium,Q703,Alkalimetalle,ok,P361,1,ok
20,Ca,Calcium,Q706,Erdalkalimetalle (2. Gruppe),ok,P361,2,ok
21,Sc,Scandium,Q713,Uebergangsmetalle,ok,P361,3,ok
22,Ti,Titan,Q716,Uebergangsmetalle,ok,P361,4,ok
23,V,Vanadium,Q722,Uebergangsmetalle,ok,P361,5,ok
24,Cr,Chrom,Q725,Uebergangsmetalle,ok,P361,6,ok
25,Mn,Mangan,Q731,Uebergangsmetalle,ok,P361,7,ok
26,Fe,Eisen,Q677,Uebergangsmetalle,ok,P361,8,ok
27,Co,Cobalt,Q740,Uebergangsmetalle,ok,P361,9,ok
28,Ni,Nickel,Q744,Uebergangsmetalle,ok,P361,10,ok
29,Cu,Kupfer,Q753,Uebergangsmetalle,ok,P361,11,ok
30,Zn,Zink,Q758,,strittig,,12,ok
31,Ga,Gallium,Q861,Metalle des p-Blocks,ok,P361,13,ok
32,Ge,Germanium,Q867,Halbmetalle,ok,P361,14,ok
33,As,Arsen,Q871,Halbmetalle,ok,P361,15,ok
34,Se,Selen,Q876,,strittig,,16,ok
35,Br,Brom,Q879,Halogene (17. Gruppe),ok,P361,17,ok
