eigenschaft,befund,qid,label,ziel_qid,ziel_label,kennzahl,quickstatements,begruendung,entscheidung
P279,verkehrt,Q744,Nickel,Q9259184,ferromagnetic material,43:4,-Q744	P279	Q9259184,"Unter Q744 (Nickel) haengen 43 Klassen, unter Q9259184 (ferromagnetic material) ohne diesen Zweig nur 4. Die weitere Klasse haengt unter der engeren.","Verdacht auf verkehrte Kante. Ob sie zu entfernen oder umzudrehen ist, ist eine fachliche Entscheidung."
P279,verkehrt,Q9259184,ferromagnetic material,Q949573,Magnetwerkstoffe,48:3,-Q9259184	P279	Q949573,"Unter Q9259184 (ferromagnetic material) haengen 48 Klassen, unter Q949573 (Magnetwerkstoffe) ohne diesen Zweig nur 3. Die weitere Klasse haengt unter der engeren.","Verdacht auf verkehrte Kante. Ob sie zu entfernen oder umzudrehen ist, ist eine fachliche Entscheidung."
,kennzahl,,Items gesamt,,,12,,,
,kennzahl,,Klassen im geholten Graphen,,,80,,,
,kennzahl,,"kuerzester Abstand zu material, Median",,,3,,,
,kennzahl,,mit beidem,,,2,,,
,kennzahl,,mit keinem von beiden,,,0,,,
,kennzahl,,mit mehreren Oberklassen,,,5,,,
,kennzahl,,mit P279 (Unterklasse von),,,12,,,
,kennzahl,,mit P31 (ist ein/e),,,2,,,
,kennzahl,,mit Pfad zu Legierung (Q37756),,,1,,,
,kennzahl,,mit Pfad zu material (Q214609),,,12,,,
,kennzahl,,P279-Kanten im geholten Graphen,,,116,,,
,kennzahl,,selbst Oberklasse (hat Unterklassen),,,3,,,
