eigenschaft,befund,qid,label,ziel_qid,ziel_label,kennzahl,quickstatements,begruendung,entscheidung
P279,redundant,Q864487,biologisch abbaubarer Werkstoff,Q57305881,biologisch abbaubares Material,3,-Q864487	P279	Q57305881,Q864487 hat P279 auf Q57305881 (biologisch abbaubares Material) UND auf Q11474 (Kunststoff); ueber Q11474 ist Q57305881 ohnehin erreichbar: Q864487 (biologisch abbaubarer Werkstoff) -> Q11474 (Kunststoff) -> Q1783121 (organische Masse) -> Q57305881 (biologisch abbaubares Material),Entfernen aendert nichts an der abgeleiteten Klassenzugehoerigkeit - nur die doppelte Notation faellt weg.
P279,redundant,Q9154749,Anilana,Q5856,Chemiefaser,2,-Q9154749	P279	Q5856,Q9154749 hat P279 auf Q5856 (Chemiefaser) UND auf Q2259977 (Acrylfaser); ueber Q2259977 ist Q5856 ohnehin erreichbar: Q9154749 (Anilana) -> Q2259977 (Acrylfaser) -> Q5856 (Chemiefaser),Entfernen aendert nichts an der abgeleiteten Klassenzugehoerigkeit - nur die doppelte Notation faellt weg.
P279,redundant,Q4139912,Q4139912,Q79529,chemischer Stoff,4,-Q4139912	P279	Q79529,Q4139912 hat P279 auf Q79529 (chemischer Stoff) UND auf Q139699 (Alkydharze); ueber Q139699 ist Q79529 ohnehin erreichbar: Q4139912 (Q4139912) -> Q139699 (Alkydharze) -> Q1418040 (Kunstharz) -> Q169336 (Gemisch) -> Q79529 (chemischer Stoff),Entfernen aendert nichts an der abgeleiteten Klassenzugehoerigkeit - nur die doppelte Notation faellt weg.
P279,redundant,Q65718489,microfilm roll,Q193395,Datenträger,2,-Q65718489	P279	Q193395,Q65718489 hat P279 auf Q193395 (Datenträger) UND auf Q830450 (Mikroform); ueber Q830450 ist Q193395 ohnehin erreichbar: Q65718489 (microfilm roll) -> Q830450 (Mikroform) -> Q193395 (Datenträger),Entfernen aendert nichts an der abgeleiteten Klassenzugehoerigkeit - nur die doppelte Notation faellt weg.
P279,redundant,Q7783228,thermoplastisches Polyurethan,Q252266,Elastomer,3,-Q7783228	P279	Q252266,Q7783228 hat P279 auf Q252266 (Elastomer) UND auf Q146527 (Thermoplastische Elastomere); ueber Q146527 ist Q252266 ohnehin erreichbar: Q7783228 (thermoplastisches Polyurethan) -> Q146527 (Thermoplastische Elastomere) -> Q18113858 (Kautschuk) -> Q252266 (Elastomer),Entfernen aendert nichts an der abgeleiteten Klassenzugehoerigkeit - nur die doppelte Notation faellt weg.
P279,redundant,Q2713357,Super 16,Q6293,fotografischer Film,2,-Q2713357	P279	Q6293,Q2713357 hat P279 auf Q6293 (fotografischer Film) UND auf Q194383 (16-mm-Film); ueber Q194383 ist Q6293 ohnehin erreichbar: Q2713357 (Super 16) -> Q194383 (16-mm-Film) -> Q6293 (fotografischer Film),Entfernen aendert nichts an der abgeleiteten Klassenzugehoerigkeit - nur die doppelte Notation faellt weg.
P279,redundant,Q146559,Polyesterharz,Q131790,Klebstoff,3,-Q146559	P279	Q131790,Q146559 hat P279 auf Q131790 (Klebstoff) UND auf Q1418040 (Kunstharz); ueber Q1418040 ist Q131790 ohnehin erreichbar: Q146559 (Polyesterharz) -> Q1418040 (Kunstharz) -> Q145205 (Harz) -> Q131790 (Klebstoff),Entfernen aendert nichts an der abgeleiteten Klassenzugehoerigkeit - nur die doppelte Notation faellt weg.
P279,redundant,Q20180653,Melaminharz,Q1418040,Kunstharz,2,-Q20180653	P279	Q1418040,Q20180653 hat P279 auf Q1418040 (Kunstharz) UND auf Q6665766 (Aminoplaste); ueber Q6665766 ist Q1418040 ohnehin erreichbar: Q20180653 (Melaminharz) -> Q6665766 (Aminoplaste) -> Q1418040 (Kunstharz),Entfernen aendert nichts an der abgeleiteten Klassenzugehoerigkeit - nur die doppelte Notation faellt weg.
P279,redundant,Q54085254,RTV silicone,Q1418040,Kunstharz,2,-Q54085254	P279	Q1418040,Q54085254 hat P279 auf Q1418040 (Kunstharz) UND auf Q7515049 (Silicone resin); ueber Q7515049 ist Q1418040 ohnehin erreichbar: Q54085254 (RTV silicone) -> Q7515049 (Silicone resin) -> Q1418040 (Kunstharz),Entfernen aendert nichts an der abgeleiteten Klassenzugehoerigkeit - nur die doppelte Notation faellt weg.
P279,redundant,Q145897,Phenoplast,Q11474,Kunststoff,2,-Q145897	P279	Q11474,Q145897 hat P279 auf Q11474 (Kunststoff) UND auf Q1418040 (Kunstharz); ueber Q1418040 ist Q11474 ohnehin erreichbar: Q145897 (Phenoplast) -> Q1418040 (Kunstharz) -> Q11474 (Kunststoff),Entfernen aendert nichts an der abgeleiteten Klassenzugehoerigkeit - nur die doppelte Notation faellt weg.
