status,source,qid,label,property,value,value_label,datatype,unit_qid,formula,bestimmungsmethode,kandidaten,entry_id,ref_mode,ref_doi,ref_isbn,ref_url,ref_retrieved,ref_note
VORSCHLAG,Wikipedia (de),Q109674,Polycaprolacton,P2054 (Dichte),1.21,,quantity,Q13147228,,P2076=20U25267 (20 °C); P515=Q11438 (fest),,,DOI,10.1016/j.polymer.2005.03.116,,https://doi.org/10.1016/j.polymer.2005.03.116,,"Infobox-Feld 'Dichte', Beleg aus Wikipedia (de): https://de.wikipedia.org/w/index.php?title=Polycaprolacton&oldid=270029021"
VORSCHLAG,Wikipedia (de),Q109674,Polycaprolacton,P2101 (Schmelzpunkt),331.15,,quantity,Q11579,,,,,Wikimedia-Import,,,https://de.wikipedia.org/w/index.php?title=Polycaprolacton&oldid=270029021,2026-08-30,Infobox-Feld 'Schmelzpunkt' (in Kelvin)
BEREITS_VORHANDEN,Wikipedia (en),Q109674,Polycaprolacton,P231 (CAS-Nummer),24980-41-4,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Chembox-Feld 'CASNo'
BEREITS_VORHANDEN,Wikipedia (de),Q143252,Polytetrafluorethylen,P2054 (Dichte),2.2,,quantity,Q13147228,,P2076=20U25267 (20 °C); P515=Q11438 (fest),,,Wikimedia-Import,,,https://de.wikipedia.org/w/index.php?title=Polytetrafluorethylen&oldid=268091473,2026-08-30,Infobox-Feld 'Dichte'
VORSCHLAG,Wikipedia (de),Q143252,Polytetrafluorethylen,P5593 (Poissonzahl),0.46,,quantity,,,,,,Wikimedia-Import,,,https://de.wikipedia.org/w/index.php?title=Polytetrafluorethylen&oldid=268091473,2026-08-30,Infobox-Feld 'Poissonzahl'
BEREITS_VORHANDEN,Wikipedia (de),Q143252,Polytetrafluorethylen,P231 (CAS-Nummer),9002-84-0,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Infobox-Feld 'CAS'
VORSCHLAG,Wikipedia (de),Q143252,Polytetrafluorethylen,P2101 (Schmelzpunkt),600.15,,quantity,Q11579,,,,,Wikimedia-Import,,,https://de.wikipedia.org/w/index.php?title=Polytetrafluorethylen&oldid=268091473,2026-08-30,Infobox-Feld 'Schmelzpunkt' (in Kelvin)
BEREITS_VORHANDEN,Wikipedia (de),Q143429,Polyethylen,P231 (CAS-Nummer),9002-88-4,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Infobox-Feld 'CAS'
VORSCHLAG,COD,Q143629,Acrylnitril-Styrol-Acrylat-Copolymer,P9824 (COD-ID),7130607,,external-id,,C18 H23 N O2,,,cod-7130607,ohne Beleg (Identifikator),,,,,"COD 7130607; Chemical Communications, 2022, T = 293 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 19 nur in 7 von 20 COD-Eintraegen),COD,Q143629,Acrylnitril-Styrol-Acrylat-Copolymer,P690 (Raumgruppe),Q13371295,Raumgruppe 19,item,,C18 H23 N O2,,,cod-7130607,DOI,10.1039/D2CC03984B,,https://doi.org/10.1039/D2CC03984B,,"COD 7130607; Chemical Communications, 2022, T = 293 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 19 nur in 7 von 20 COD-Eintraegen),COD,Q143629,Acrylnitril-Styrol-Acrylat-Copolymer,P589 (Punktgruppe),Q13364032,Orthorhombisch-disphenoidisch,item,,C18 H23 N O2,,,cod-7130607,DOI,10.1039/D2CC03984B,,https://doi.org/10.1039/D2CC03984B,,"COD 7130607; Chemical Communications, 2022, T = 293 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 19 nur in 7 von 20 COD-Eintraegen),COD,Q143629,Acrylnitril-Styrol-Acrylat-Copolymer,P556 (Kristallsystem),Q648961,orthorhombisches Kristallsystem,item,,C18 H23 N O2,,,cod-7130607,DOI,10.1039/D2CC03984B,,https://doi.org/10.1039/D2CC03984B,,"COD 7130607; Chemical Communications, 2022, T = 293 K"
VORSCHLAG,Wikipedia (en),Q145387,Polyetheretherketon,P2101 (Schmelzpunkt),616.15,,quantity,Q11579,,,,,Wikimedia-Import,,,https://en.wikipedia.org/w/index.php?title=Polyether_ether_ketone&oldid=1365230047,2026-08-30,Chembox-Feld 'MeltingPtC' (in Kelvin)
BEREITS_VORHANDEN,Wikipedia (en),Q145387,Polyetheretherketon,P231 (CAS-Nummer),31694-16-3,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Chembox-Feld 'CASNo'
BEREITS_VORHANDEN,Wikipedia (de),Q145836,Polyethersulfon,P231 (CAS-Nummer),25608-63-3,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Infobox-Feld 'CAS'
BEREITS_VORHANDEN,Wikipedia (de),Q145863,Polyethylenterephthalat,P231 (CAS-Nummer),25038-59-9,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Infobox-Feld 'CAS'
BEREITS_VORHANDEN,Wikipedia (en),Q145863,Polyethylenterephthalat,P2101 (Schmelzpunkt),523.15,,quantity,Q11579,,,,,Wikimedia-Import,,,https://en.wikipedia.org/w/index.php?title=Polyethylene_terephthalate&oldid=1369643023,2026-08-30,Chembox-Feld 'MeltingPtC' (in Kelvin)
BEREITS_VORHANDEN,Wikipedia (en),Q145863,Polyethylenterephthalat,P2102 (Siedepunkt),623.15,,quantity,Q11579,,,,,Wikimedia-Import,,,https://en.wikipedia.org/w/index.php?title=Polyethylene_terephthalate&oldid=1369643023,2026-08-30,Chembox-Feld 'BoilingPtC' (in Kelvin)
BEREITS_VORHANDEN,Wikipedia (en),Q145897,Phenoplast,P231 (CAS-Nummer),9003-35-4,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Chembox-Feld 'CASNo'
