qid,label,problem,evidence,current_property,current_value,suggested_property,suggested_value,suggested_value_label,alle_kandidaten
Q1000364,Buckypapier,moegliche spezifischere Subklasse,description (en) enthaelt 'aggregate',P279,Q214609,P279,Q866298,aggregate,Q866298=aggregate; Q539430=Nanoröhre; Q105821963=Sheet; Q24489=Kohle; Q5849500=Stoff
Q10350153,Piçarra,moegliche spezifischere Subklasse,description (de) enthaelt 'Gestein',P279,Q214609,P279,Q8063,Gestein,Q8063=Gestein; Q22731=Stein; Q3757650=Stein
Q10376600,Layered materials,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q105840205,PVC fabric,moegliche spezifischere Subklasse,name (en) enthaelt 'fabric',P279,Q214609,P279,Q136764162,fabric,Q136764162=fabric
Q106549312,air-sensitive substance,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q56256173=Klasse von chemischen Verbindungen mit ähnlichen Anwendungen oder Funktionen,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q10675206,Inhaltsstoff,moegliche spezifischere Subklasse,name (de) enthaelt 'Stoff',P279,Q214609,P279,Q5849500,Stoff,Q5849500=Stoff
Q106819724,feinkörniges Material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q2995529=grain
Q106819789,grobkörniges Material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q2995529=grain
Q106819845,mittelkörniges Material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q117316442=medium; Q5460003=Mater; Q2995529=grain
Q107158420,perovskite,moegliche spezifischere Subklasse,description (en) enthaelt 'crystal',P279,Q214609,P279,Q359572,crystal,Q359572=crystal; Q97794245=compo
Q107470276,electromaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q110728867,Formgedächtniskeramik,moegliche spezifischere Subklasse,name (de) enthaelt 'Keramik',P279,Q214609,P279,Q45621,Keramik,Q45621=Keramik
Q110867630,copper plated steel,moegliche spezifischere Subklasse,name (en) enthaelt 'copper',P279,Q214609,P279,Q753,copper,Q753=copper; Q3827429=plate
Q110867743,nickel brass clad nickel centre in copper-nickel ring,moegliche spezifischere Subklasse,name (en) enthaelt 'nickel brass',P279,Q214609,P279,Q6047522,nickel brass,Q6047522=nickel brass; Q16829513=material; Q744=nickel; Q753=copper; Q97794245=compo
Q110867753,aluminium-bronze center in copper-nickel ring,moegliche spezifischere Subklasse,name (en) enthaelt 'aluminium',P279,Q214609,P279,Q663,aluminium,Q663=aluminium; Q16829513=material; Q744=nickel; Q753=copper; Q34095=bronze
Q110867986,brass plated steel,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q3827429=plate; Q39782=brass
Q110868305,bronze plated steel,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q34095=bronze; Q3827429=plate
Q110870125,nickel plated steel,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q744=nickel; Q3827429=plate
Q110899391,Bronze plated nickel,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q744=nickel; Q34095=bronze; Q3827429=plate
Q110899513,Nickel plated copper-nickel,moegliche spezifischere Subklasse,name (en) enthaelt 'nickel plated copper',P279,Q214609,P279,Q111398734,nickel plated copper,Q111398734=nickel plated copper; Q16829513=material; Q744=nickel; Q753=copper; Q3827429=plate
